date_2020,ID,dateu,PM2.5_daily,temperature
3/6/2022,47487,2022-03-06,72.747,84.767
3/6/2022,11174,2022-03-06,72.567,86.033
3/9/2022,6020,2022-03-09,72.181,62.231
3/5/2022,39969,2022-03-05,72.103,78
2/24/2022,48745,2022-02-24,71.755,76.367
3/6/2022,11184,2022-03-06,71.586,90.5
3/5/2022,6112,2022-03-05,69.823,85.467
3/6/2022,55773,2022-03-06,69.429,83.667
2/21/2022,38917,2022-02-21,68.447,72.9
3/4/2022,52885,2022-03-04,68.016,72.433
3/6/2022,47469,2022-03-06,67.361,84.793
3/6/2022,47621,2022-03-06,65.957,84.633
3/6/2022,47481,2022-03-06,65.334,85.5
2/28/2022,7906,2022-02-28,65.292,80.9
3/6/2022,47495,2022-03-06,65.109,90.833
3/6/2022,1326,2022-03-06,64.93,80.7
3/18/2022,6020,2022-03-18,64.867,74.767
3/6/2022,11190,2022-03-06,64.734,84.633
3/6/2022,757,2022-03-06,64.366,87.7
3/6/2022,47617,2022-03-06,64.105,83.1
3/6/2022,47459,2022-03-06,63.986,87.9
3/6/2022,48745,2022-03-06,63.822,87.067
3/9/2022,7906,2022-03-09,63.8,75.033
2/24/2022,52885,2022-02-24,63.186,65.567
2/21/2022,38873,2022-02-21,63.161,69.8
2/28/2022,38917,2022-02-28,62.864,61.867
3/6/2022,6006,2022-03-06,61.901,85.2
3/6/2022,47505,2022-03-06,61.624,87.067
3/3/2022,12689,2022-03-03,61.606,93.067
3/6/2022,38917,2022-03-06,61.409,85.033
3/6/2022,28145,2022-03-06,61.373,83.933
3/18/2022,36451,2022-03-18,61.29,66.967
2/21/2022,5996,2022-02-21,60.984,-221
3/6/2022,12835,2022-03-06,60.965,87.567
3/9/2022,12691,2022-03-09,60.47,NA
3/9/2022,55111,2022-03-09,60.424,64
3/16/2022,4329,2022-03-16,60.354,78.633
3/6/2022,47641,2022-03-06,59.664,NA
2/24/2022,6020,2022-02-24,58.991,77.867
2/25/2022,11184,2022-02-25,58.204,80.333
3/6/2022,55111,2022-03-06,58.037,85.826
3/6/2022,28147,2022-03-06,57.253,87.867
3/6/2022,54093,2022-03-06,57.222,82.267
3/2/2022,52885,2022-03-02,57.195,82.833
3/6/2022,47529,2022-03-06,57.064,NA
3/1/2022,20809,2022-03-01,57.003,72.967
3/6/2022,54095,2022-03-06,56.775,89.6
3/6/2022,47633,2022-03-06,56.772,84.133
3/3/2022,38875,2022-03-03,56.732,95.267
2/25/2022,6006,2022-02-25,56.723,80.067
3/15/2022,5996,2022-03-15,55.917,-221
2/21/2022,47499,2022-02-21,55.787,81.6
3/6/2022,6022,2022-03-06,55.656,88.9
3/12/2022,6020,2022-03-12,55.435,68.833
2/25/2022,12721,2022-02-25,55.36,83.533
3/4/2022,48459,2022-03-04,55.283,78.033
3/5/2022,6022,2022-03-05,55.202,85.067
3/6/2022,12703,2022-03-06,55.087,84.8
3/6/2022,6028,2022-03-06,54.723,87.333
2/21/2022,47487,2022-02-21,54.702,72.667
3/6/2022,39969,2022-03-06,54.558,85
3/6/2022,11644,2022-03-06,54.355,88.067
3/18/2022,47615,2022-03-18,54.301,82.933
3/5/2022,6028,2022-03-05,54.283,83.267
3/16/2022,47481,2022-03-16,53.979,77.467
3/6/2022,6020,2022-03-06,53.972,78.867
3/16/2022,55111,2022-03-16,53.848,75.333
3/6/2022,5996,2022-03-06,53.484,-221
3/16/2022,6112,2022-03-16,53.443,81.367
3/6/2022,12689,2022-03-06,53.434,94.533
3/5/2022,12835,2022-03-05,53.004,82.8
3/6/2022,20521,2022-03-06,52.915,87.667
3/5/2022,20809,2022-03-05,52.856,78.433
3/3/2022,12286,2022-03-03,52.267,79
3/6/2022,38871,2022-03-06,52.039,84.7
3/6/2022,47555,2022-03-06,51.988,84.933
3/16/2022,6020,2022-03-16,51.52,74.167
3/16/2022,47641,2022-03-16,51.501,NA
3/16/2022,6006,2022-03-16,51.163,69.133
3/6/2022,12697,2022-03-06,51.138,83
3/5/2022,55773,2022-03-05,50.952,72.933
3/6/2022,47499,2022-03-06,50.796,90.267
3/2/2022,47555,2022-03-02,50.524,80.933
3/16/2022,6022,2022-03-16,50.302,71.733
3/3/2022,55773,2022-03-03,50.227,85.571
3/6/2022,52885,2022-03-06,50.215,83.133
3/4/2022,12807,2022-03-04,50.202,84.167
3/2/2022,47641,2022-03-02,49.979,NA
3/16/2022,6028,2022-03-16,49.921,69.7
3/5/2022,31261,2022-03-05,49.65,71.433
3/6/2022,47493,2022-03-06,49.421,89.4
2/21/2022,12691,2022-02-21,49.312,NA
